,library_function_call,last_method_call,line,file,config,Responsable_AI_principles,Repos
0,facets_overview.generic_feature_statistics_generator.GenericFeatureStatisticsGenerator,GenericFeatureStatisticsGenerator,220,a0x8o\drill\sdks\python\apache_beam\runners\interactive\display\pcoll_visualization.py,facets_overview,Fairness,drill
10,captum.attr.LayerIntegratedGradients,LayerIntegratedGradients,86,abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py,captum,Transparency & Explainability,AC295_abnormal-distribution
11,captum.attr.visualization.VisualizationDataRecord,viz.VisualizationDataRecord,95,abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py,captum,Transparency & Explainability,AC295_abnormal-distribution
12,captum.attr.visualization.visualize_text,viz.visualize_text,106,abnormal-distribution\AC295_abnormal-distribution\submissions\project_Abnormal-Distribution\milestone4_Abnormal-Distribution\visualizations\Visualization_of_attention.py,captum,Transparency & Explainability,AC295_abnormal-distribution
13,yellowbrick.features.pca.PCADecomposition,PCADecomposition,419,arguz95\Project_ML2\.ipynb_checkpoints\Final_project_updated-checkpoint.py,yellowbrick,Transparency & Explainability,Project_ML2
14,fairml.audit_model,audit_model,47,arguz95\Project_ML2\FairML.py,fairml,Fairness,Project_ML2
15,fairml.plot_dependencies,plot_dependencies,53,arguz95\Project_ML2\FairML.py,fairml,Fairness,Project_ML2
16,yellowbrick.features.pca.PCADecomposition,PCADecomposition,446,arguz95\Project_ML2\Final_Model.py,yellowbrick,Transparency & Explainability,Project_ML2
17,yellowbrick.features.pca.PCADecomposition,PCADecomposition,433,arguz95\Project_ML2\Final_project_updated.py,yellowbrick,Transparency & Explainability,Project_ML2
18,yellowbrick.features.pca.PCADecomposition,PCADecomposition,472,arguz95\Project_ML2\Final_project_updated_Encodings.py,yellowbrick,Transparency & Explainability,Project_ML2
19,fairml.audit_model,audit_model,54,arguz95\Project_ML2\Unit_Test\FairML.py,fairml,Fairness,Project_ML2
20,fairml.plot_dependencies,plot_dependencies,60,arguz95\Project_ML2\Unit_Test\FairML.py,fairml,Fairness,Project_ML2
21,yellowbrick.features.pca.PCADecomposition,PCADecomposition,525,arguz95\Project_ML2\Unit_Test\Final_Model.py,yellowbrick,Transparency & Explainability,Project_ML2
22,yellowbrick.features.pca.PCADecomposition,PCADecomposition,508,arguz95\Project_ML2\Unit_Test\Final_project_updated.py,yellowbrick,Transparency & Explainability,Project_ML2
23,yellowbrick.features.pca.PCADecomposition,PCADecomposition,553,arguz95\Project_ML2\Unit_Test\Final_project_updated_Encodings.py,yellowbrick,Transparency & Explainability,Project_ML2
24,aequitas.bias.Bias,Bias,28,ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\funciones_bias.py,aequitas,Fairness,Diseno_producto_de_datos-
25,funciones_bias.MetricasBiasFairness,funciones_bias.MetricasBiasFairness,1555,ArquitecturaProductoDatos7\Diseno_producto_de_datos-\script\luigi_files\modelado_pipeline.py,funciones_bias.,Fairness,Diseno_producto_de_datos-
40,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,55,aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py,privacy,Privacy,aws-ds-NLP-BERT
41,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,146,aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py,privacy,Privacy,aws-ds-NLP-BERT
42,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_mu_poisson,compute_mu_poisson,148,aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\adult_tutorial.py,privacy,Privacy,aws-ds-NLP-BERT
44,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPAdamGaussianOptimizer,dp_optimizer.DPAdamGaussianOptimizer,59,aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py,privacy,Privacy,aws-ds-NLP-BERT
45,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,146,aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py,privacy,Privacy,aws-ds-NLP-BERT
46,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_mu_poisson,compute_mu_poisson,148,aws-ds-NLP-BERT\07_train\wip\privacy\research\GDP_2019\imdb_tutorial.py,privacy,Privacy,aws-ds-NLP-BERT
60,tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy,46,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy.py,privacy,Privacy,aws-ds-NLP-BERT
61,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,25,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_lib.py,privacy,Privacy,aws-ds-NLP-BERT
62,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,27,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_lib.py,privacy,Privacy,aws-ds-NLP-BERT
63,tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,21,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_test.py,privacy,Privacy,aws-ds-NLP-BERT
64,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,74,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py,privacy,Privacy,aws-ds-NLP-BERT
65,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,80,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py,privacy,Privacy,aws-ds-NLP-BERT
66,tensorflow_privacy.privacy.analysis.privacy_ledger.PrivacyLedger,privacy_ledger.PrivacyLedger,23,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
67,tensorflow_privacy.privacy.analysis.privacy_ledger.PrivacyLedger,privacy_ledger.PrivacyLedger,26,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
68,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,47,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
69,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,49,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
70,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,55,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
71,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,67,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
72,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,83,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
73,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,85,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
74,tensorflow_privacy.privacy.dp_query.nested_query.NestedQuery,nested_query.NestedQuery,88,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
75,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,89,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
76,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,98,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
77,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,110,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy,aws-ds-NLP-BERT
78,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_heterogenous_rdp,rdp_accountant.compute_heterogenous_rdp,74,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
79,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,80,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
80,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,84,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
81,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,87,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
82,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,91,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
83,tensorflow_privacy.privacy.analysis.rdp_accountant._compute_log_a,rdp_accountant._compute_log_a,113,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
84,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,119,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
85,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,120,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
86,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,127,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
87,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,128,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
88,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,137,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
89,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,142,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
90,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,145,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
91,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,149,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
92,tensorflow_privacy.privacy.analysis.privacy_ledger.GaussianSumQueryEntry,privacy_ledger.GaussianSumQueryEntry,162,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
93,tensorflow_privacy.privacy.analysis.privacy_ledger.SampleEntry,privacy_ledger.SampleEntry,164,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
94,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,167,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
95,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp_from_ledger,rdp_accountant.compute_rdp_from_ledger,168,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy,aws-ds-NLP-BERT
98,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,20,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,privacy,Privacy,aws-ds-NLP-BERT
99,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,32,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,privacy,Privacy,aws-ds-NLP-BERT
100,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,37,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,privacy,Privacy,aws-ds-NLP-BERT
101,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,47,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,privacy,Privacy,aws-ds-NLP-BERT
102,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,20,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_graph.py,privacy,Privacy,aws-ds-NLP-BERT
103,tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,40,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_graph.py,privacy,Privacy,aws-ds-NLP-BERT
104,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexMixin,StrongConvexMixin,56,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
105,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexMixin,StrongConvexMixin,71,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
106,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,95,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
107,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,125,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
108,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,161,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
109,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,200,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
110,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,228,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
111,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,255,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
112,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,295,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
113,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,366,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
114,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexHuber,StrongConvexHuber,405,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy,aws-ds-NLP-BERT
115,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,92,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models.py,privacy,Privacy,aws-ds-NLP-BERT
116,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,134,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
117,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,150,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
118,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,174,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
119,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,201,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
120,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,270,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
121,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,338,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
122,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,374,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
123,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,460,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
124,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,527,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy,aws-ds-NLP-BERT
125,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,204,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
126,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,263,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
127,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,298,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
128,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,333,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
129,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,361,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
130,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,414,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
131,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,454,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
132,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,491,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
133,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,510,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
134,tensorflow_privacy.privacy.bolt_on.optimizers.GammaBetaDecreasingStep,opt.GammaBetaDecreasingStep,530,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
135,tensorflow_privacy.privacy.bolt_on.optimizers.GammaBetaDecreasingStep,opt.GammaBetaDecreasingStep,557,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy,aws-ds-NLP-BERT
138,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,24,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
139,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,26,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
140,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,36,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
141,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,38,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
142,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,51,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
143,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,53,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
144,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,70,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
145,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,72,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
146,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,86,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
147,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,97,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
148,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,112,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
149,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,114,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
150,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,125,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
151,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,127,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
152,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,142,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
153,tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,144,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy,aws-ds-NLP-BERT
